学校,学科,等级/结果,推测等级或第四轮等级,时间,来源,渠道,标题,链接,备注,网页存档
北京航空航天大学,仪器科学与技术,A+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,生物医学工程,A+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,管理科学与工程,A+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,航空宇航科学与技术,A+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,外国语言文学,A,,12月30日,北航招生,微信公众号,【向北航行】逐梦出发！外语类保送生风采展示,https://mp.weixin.qq.com/s/trCkPQ7CEPsmzdx7JT3H-Q,页末，已删去相关表述,https://archive.is/SIQPA
北京航空航天大学,外国语言文学,A,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,控制科学与工程,A,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,机械工程,A,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,信息与通信工程,A,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,数学,A-,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,数学,优秀成绩,,1月1日,北京航空航天大学数学科学学院,网站,七秩风华再砥砺，数海同行向未来,https://math.buaa.edu.cn/info/1056/9230.htm,,https://web.archive.org/web/20230209090318/https://math.buaa.edu.cn/info/1056/9230.htm
北京航空航天大学,力学,A-,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,光学工程,A-,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,动力工程及工程热物理,A-,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,交通运输工程,A-,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,公共管理,A-,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,法学,B+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
